  STREAM OBSERVATION OUTPUT
    TIME      SFR-NODE  SFR-CONCENTRATION    FLOWGW          GW-CONC
    480.4194         31       0.2137838E-02       -30.68215           0.1304988E-01
    480.4194         32       0.2175057E-02       -26.35242           0.1336555E-01
    480.4194         33       0.2205206E-02       -20.90701           0.1379172E-01
    480.4194         34       0.2226694E-02       -14.48606           0.1433516E-01
    480.4194         35       0.2237982E-02       -7.347598           0.1499481E-01
    480.4194         36       0.2237938E-02       0.1199965           0.1534838E-01
    480.4194         37       0.2234654E-02        8.985526           0.1467852E-01
    480.4194         38       0.2227321E-02        20.15248           0.1389407E-01
    480.4194         39       0.2215704E-02        32.16213           0.1312160E-01
    480.4194         40       0.1541944E-02        0.000000           0.1000000E+31
    600.5243          1       0.5116642E-04       -69.07879           0.1124820E-01
    600.5243          2       0.1018173E-03       -69.44162           0.1122963E-01
    600.5243          3       0.1515926E-03       -69.22833           0.1123507E-01
    600.5243          4       0.1999927E-03       -68.61442           0.1123841E-01
    600.5243          5       0.2465466E-03       -67.17272           0.1127605E-01
    600.5243          6       0.2909237E-03       -64.02850           0.1143518E-01
    600.5243          7       0.3324742E-03       -59.61715           0.1166269E-01
    600.5243          8       0.3703132E-03       -53.59626           0.1198429E-01
    600.5243          9       0.4031954E-03       -45.05421           0.1249933E-01
    600.5243         10       0.4299102E-03       -34.66274           0.1321578E-01
    600.5243         11       0.4571356E-03       -36.26577           0.1306071E-01
    600.5243         12       0.4846766E-03       -37.37084           0.1296357E-01
    600.5243         13       0.5137859E-03       -40.45902           0.1275759E-01
    600.5243         14       0.5441216E-03       -43.08222           0.1258870E-01
    600.5243         15       0.5750462E-03       -44.71676           0.1248076E-01
    600.5243         16       0.6059888E-03       -45.23340           0.1244893E-01
    600.5243         17       0.6364854E-03       -44.98927           0.1245666E-01
    600.5243         18       0.6660484E-03       -43.67366           0.1253836E-01
    600.5243         19       0.6939766E-03       -40.95270           0.1271462E-01
    600.5243         20       0.7191925E-03       -36.18196           0.1304159E-01
    600.5243         21       0.7408277E-03       -30.08597           0.1348225E-01
    600.5243         22       0.7653250E-03       -35.48397           0.1308429E-01
    600.5243         23       0.7916777E-03       -39.35167           0.1281616E-01
    600.5243         24       0.8187498E-03       -41.23930           0.1268473E-01
    600.5243         25       0.8458063E-03       -41.65714           0.1265451E-01
    600.5243         26       0.8724039E-03       -41.18049           0.1268225E-01
    600.5243         27       0.8982805E-03       -40.11129           0.1275208E-01
    600.5243         28       0.9232452E-03       -38.62718           0.1285144E-01
    600.5243         29       0.9470784E-03       -36.65839           0.1298832E-01
    600.5243         30       0.9694674E-03       -34.10171           0.1316817E-01
    600.5243         31       0.9899846E-03       -30.68215           0.1342520E-01
    600.5243         32       0.1008070E-02       -26.35242           0.1376433E-01
    600.5243         33       0.1022975E-02       -20.90701           0.1422447E-01
    600.5243         34       0.1033831E-02       -14.48606           0.1481453E-01
    600.5243         35       0.1039681E-02       -7.347598           0.1553527E-01
    600.5243         36       0.1039737E-02       0.1199965           0.1588739E-01
    600.5243         37       0.1043954E-02        8.985526           0.1506255E-01
    600.5243         38       0.1053346E-02        20.15248           0.1411581E-01
    600.5243         39       0.1068182E-02        32.16213           0.1320370E-01
    600.5243         40       0.1641943E-02        0.000000           0.1000000E+31
    720.6292          1       0.1173403E-03       -69.07879           0.1137201E-01
    720.6292          2       0.2335653E-03       -69.44162           0.1135294E-01
    720.6292          3       0.3478147E-03       -69.22833           0.1135821E-01
    720.6292          4       0.4591528E-03       -68.61442           0.1136020E-01
    720.6292          5       0.5664444E-03       -67.17272           0.1139692E-01
    720.6292          6       0.6682678E-03       -64.02850           0.1155970E-01
    720.6292          7       0.7630274E-03       -59.61715           0.1179253E-01
    720.6292          8       0.8486124E-03       -53.59626           0.1212185E-01
    720.6292          9       0.9218798E-03       -45.05421           0.1265161E-01
    720.6292         10       0.9801124E-03       -34.66274           0.1339281E-01
    720.6292         11       0.1039876E-02       -36.26577           0.1322992E-01
    720.6292         12       0.1100586E-02       -37.37084           0.1312826E-01
    720.6292         13       0.1165130E-02       -40.45902           0.1291583E-01
    720.6292         14       0.1232722E-02       -43.08222           0.1274181E-01
    720.6292         15       0.1301867E-02       -44.71676           0.1263038E-01
    720.6292         16       0.1371116E-02       -45.23340           0.1259762E-01
    720.6292         17       0.1439389E-02       -44.98927           0.1260517E-01
    720.6292         18       0.1505414E-02       -43.67366           0.1268928E-01
    720.6292         19       0.1567453E-02       -40.95270           0.1287103E-01
    720.6292         20       0.1622901E-02       -36.18196           0.1320881E-01
    720.6292         21       0.1669859E-02       -30.08597           0.1366467E-01
    720.6292         22       0.1723680E-02       -35.48397           0.1325266E-01
    720.6292         23       0.1782065E-02       -39.35167           0.1297554E-01
    720.6292         24       0.1842315E-02       -41.23930           0.1283956E-01
    720.6292         25       0.1902602E-02       -41.65714           0.1280819E-01
    720.6292         26       0.1961829E-02       -41.18049           0.1283659E-01
    720.6292         27       0.2019328E-02       -40.11129           0.1290857E-01
    720.6292         28       0.2074627E-02       -38.62718           0.1301113E-01
    720.6292         29       0.2127185E-02       -36.65839           0.1315263E-01
    720.6292         30       0.2176279E-02       -34.10171           0.1333862E-01
    720.6292         31       0.2220889E-02       -30.68215           0.1360520E-01
    720.6292         32       0.2259788E-02       -26.35242           0.1395749E-01
    720.6292         33       0.2291380E-02       -20.90701           0.1443708E-01
    720.6292         34       0.2313977E-02       -14.48606           0.1505449E-01
    720.6292         35       0.2325902E-02       -7.347598           0.1581198E-01
    720.6292         36       0.2325832E-02       0.1199965           0.1616195E-01
    720.6292         37       0.2320619E-02        8.985526           0.1529130E-01
    720.6292         38       0.2309022E-02        20.15248           0.1431441E-01
    720.6292         39       0.2290755E-02        32.16213           0.1339567E-01
    720.6292         40       0.1679468E-02        0.000000           0.1000000E+31
    840.7340          1       0.5311173E-04       -69.07879           0.1143031E-01
    840.7340          2       0.1056851E-03       -69.44162           0.1141098E-01
    840.7340          3       0.1573461E-03       -69.22833           0.1141615E-01
    840.7340          4       0.2075602E-03       -68.61442           0.1141733E-01
    840.7340          5       0.2558385E-03       -67.17272           0.1145341E-01
    840.7340          6       0.3018734E-03       -64.02850           0.1161795E-01
    840.7340          7       0.3449962E-03       -59.61715           0.1185335E-01
    840.7340          8       0.3842938E-03       -53.59626           0.1218645E-01
    840.7340          9       0.4184976E-03       -45.05421           0.1272368E-01
    840.7340         10       0.4463709E-03       -34.66274           0.1347807E-01
    840.7340         11       0.4747416E-03       -36.26577           0.1331076E-01
    840.7340         12       0.5034208E-03       -37.37084           0.1320658E-01
    840.7340         13       0.5337118E-03       -40.45902           0.1299081E-01
    840.7340         14       0.5652607E-03       -43.08222           0.1281414E-01
    840.7340         15       0.5974082E-03       -44.71676           0.1270090E-01
    840.7340         16       0.6295706E-03       -45.23340           0.1266765E-01
    840.7340         17       0.6612670E-03       -44.98927           0.1267506E-01
    840.7340         18       0.6920017E-03       -43.67366           0.1276042E-01
    840.7340         19       0.7210563E-03       -40.95270           0.1294502E-01
    840.7340         20       0.7473238E-03       -36.18196           0.1328849E-01
    840.7340         21       0.7699015E-03       -30.08597           0.1375240E-01
    840.7340         22       0.7954232E-03       -35.48397           0.1333292E-01
    840.7340         23       0.8228472E-03       -39.35167           0.1305106E-01
    840.7340         24       0.8510024E-03       -41.23930           0.1291267E-01
    840.7340         25       0.8791364E-03       -41.65714           0.1288068E-01
    840.7340         26       0.9067946E-03       -41.18049           0.1290940E-01
    840.7340         27       0.9337100E-03       -40.11129           0.1298249E-01
    840.7340         28       0.9596874E-03       -38.62718           0.1308671E-01
    840.7340         29       0.9845023E-03       -36.65839           0.1323066E-01
    840.7340         30       0.1007832E-02       -34.10171           0.1341991E-01
    840.7340         31       0.1029238E-02       -30.68215           0.1369164E-01
    840.7340         32       0.1048141E-02       -26.35242           0.1405114E-01
    840.7340         33       0.1063757E-02       -20.90701           0.1454158E-01
    840.7340         34       0.1075172E-02       -14.48606           0.1517462E-01
    840.7340         35       0.1081350E-02       -7.347598           0.1595362E-01
    840.7340         36       0.1081433E-02       0.1199965           0.1630088E-01
    840.7340         37       0.1087612E-02        8.985526           0.1535487E-01
    840.7340         38       0.1101327E-02        20.15248           0.1430113E-01
    840.7340         39       0.1122870E-02        32.16213           0.1331673E-01
    840.7340         40       0.1706813E-02        0.000000           0.1000000E+31
    960.8389          1       0.1182658E-03       -69.07879           0.1145805E-01
    960.8389          2       0.2354051E-03       -69.44162           0.1143859E-01
    960.8389          3       0.3505507E-03       -69.22833           0.1144368E-01
    960.8389          4       0.4627485E-03       -68.61442           0.1144440E-01
    960.8389          5       0.5708543E-03       -67.17272           0.1148008E-01
    960.8389          6       0.6734604E-03       -64.02850           0.1164545E-01
    960.8389          7       0.7689625E-03       -59.61715           0.1188209E-01
    960.8389          8       0.8552372E-03       -53.59626           0.1221700E-01
    960.8389          9       0.9291330E-03       -45.05421           0.1275795E-01
    960.8389         10       0.9879254E-03       -34.66274           0.1351923E-01
    960.8389         11       0.1048238E-02       -36.26577           0.1334948E-01
    960.8389         12       0.1109490E-02       -37.37084           0.1324391E-01
    960.8389         13       0.1174597E-02       -40.45902           0.1302646E-01
    960.8389         14       0.1242764E-02       -43.08222           0.1284844E-01
    960.8389         15       0.1312488E-02       -44.71676           0.1273427E-01
    960.8389         16       0.1382314E-02       -45.23340           0.1270078E-01
    960.8389         17       0.1451154E-02       -44.98927           0.1270811E-01
    960.8389         18       0.1517733E-02       -43.67366           0.1279409E-01
    960.8389         19       0.1580306E-02       -40.95270           0.1298015E-01
    960.8389         20       0.1636257E-02       -36.18196           0.1332654E-01
    960.8389         21       0.1683670E-02       -30.08597           0.1379464E-01
    960.8389         22       0.1737981E-02       -35.48397           0.1337128E-01
    960.8389         23       0.1796875E-02       -39.35167           0.1308695E-01
    960.8389         24       0.1857638E-02       -41.23930           0.1294731E-01
    960.8389         25       0.1918434E-02       -41.65714           0.1291500E-01
    960.8389         26       0.1978164E-02       -41.18049           0.1294386E-01
    960.8389         27       0.2036154E-02       -40.11129           0.1301752E-01
    960.8389         28       0.2091934E-02       -38.62718           0.1312260E-01
    960.8389         29       0.2144960E-02       -36.65839           0.1326782E-01
    960.8389         30       0.2194504E-02       -34.10171           0.1345877E-01
    960.8389         31       0.2239542E-02       -30.68215           0.1373322E-01
    960.8389         32       0.2278838E-02       -26.35242           0.1409659E-01
    960.8389         33       0.2310781E-02       -20.90701           0.1459297E-01
    960.8389         34       0.2333659E-02       -14.48606           0.1523476E-01
    960.8389         35       0.2345753E-02       -7.347598           0.1602612E-01
    960.8389         36       0.2345657E-02       0.1199965           0.1637211E-01
    960.8389         37       0.2338502E-02        8.985526           0.1543093E-01
    960.8389         38       0.2322642E-02        20.15248           0.1439563E-01
    960.8389         39       0.2297801E-02        32.16213           0.1344056E-01
    960.8389         40       0.1710336E-02        0.000000           0.1000000E+31
    1080.944          1       0.5355621E-04       -69.07879           0.1147137E-01
    1080.944          2       0.1065687E-03       -69.44162           0.1145185E-01
    1080.944          3       0.1586597E-03       -69.22833           0.1145690E-01
    1080.944          4       0.2092852E-03       -68.61442           0.1145736E-01
    1080.944          5       0.2579516E-03       -67.17272           0.1149280E-01
    1080.944          6       0.3043593E-03       -64.02850           0.1165855E-01
    1080.944          7       0.3478356E-03       -59.61715           0.1189577E-01
    1080.944          8       0.3874614E-03       -53.59626           0.1223154E-01
    1080.944          9       0.4219654E-03       -45.05421           0.1277432E-01
    1080.944         10       0.4501098E-03       -34.66274           0.1353916E-01
    1080.944         11       0.4787442E-03       -36.26577           0.1336808E-01
    1080.944         12       0.5076829E-03       -37.37084           0.1326176E-01
    1080.944         13       0.5382418E-03       -40.45902           0.1304347E-01
    1080.944         14       0.5700646E-03       -43.08222           0.1286478E-01
    1080.944         15       0.6024871E-03       -44.71676           0.1275014E-01
    1080.944         16       0.6349236E-03       -45.23340           0.1271653E-01
    1080.944         17       0.6668892E-03       -44.98927           0.1272380E-01
    1080.944         18       0.6978873E-03       -43.67366           0.1281010E-01
    1080.944         19       0.7271967E-03       -40.95270           0.1299688E-01
    1080.944         20       0.7537049E-03       -36.18196           0.1334477E-01
    1080.944         21       0.7765019E-03       -30.08597           0.1381501E-01
    1080.944         22       0.8022582E-03       -35.48397           0.1338965E-01
    1080.944         23       0.8299250E-03       -39.35167           0.1310407E-01
    1080.944         24       0.8583242E-03       -41.23930           0.1296379E-01
    1080.944         25       0.8867002E-03       -41.65714           0.1293130E-01
    1080.944         26       0.9145967E-03       -41.18049           0.1296024E-01
    1080.944         27       0.9417459E-03       -40.11129           0.1303417E-01
    1080.944         28       0.9679522E-03       -38.62718           0.1313968E-01
    1080.944         29       0.9929904E-03       -36.65839           0.1328556E-01
    1080.944         30       0.1016536E-02       -34.10171           0.1347737E-01
    1080.944         31       0.1038149E-02       -30.68215           0.1375325E-01
    1080.944         32       0.1057244E-02       -26.35242           0.1411867E-01
    1080.944         33       0.1073034E-02       -20.90701           0.1461824E-01
    1080.944         34       0.1084590E-02       -14.48606           0.1526487E-01
    1080.944         35       0.1090854E-02       -7.347598           0.1606322E-01
    1080.944         36       0.1090964E-02       0.1199965           0.1640771E-01
    1080.944         37       0.1099090E-02        8.985526           0.1542176E-01
    1080.944         38       0.1117065E-02        20.15248           0.1433764E-01
    1080.944         39       0.1145139E-02        32.16213           0.1333726E-01
    1080.944         40       0.1721470E-02        0.000000           0.1000000E+31
    1201.049          1       0.1184811E-03       -69.07879           0.1147783E-01
    1201.049          2       0.2358331E-03       -69.44162           0.1145827E-01
    1201.049          3       0.3511869E-03       -69.22833           0.1146329E-01
    1201.049          4       0.4635833E-03       -68.61442           0.1146362E-01
    1201.049          5       0.5718757E-03       -67.17272           0.1149892E-01
    1201.049          6       0.6746609E-03       -64.02850           0.1166485E-01
    1201.049          7       0.7703327E-03       -59.61715           0.1190234E-01
    1201.049          8       0.8567645E-03       -53.59626           0.1223851E-01
    1201.049          9       0.9308043E-03       -45.05421           0.1278218E-01
    1201.049         10       0.9897283E-03       -34.66274           0.1354884E-01
    1201.049         11       0.1050168E-02       -36.26577           0.1337704E-01
    1201.049         12       0.1111545E-02       -37.37084           0.1327032E-01
    1201.049         13       0.1176779E-02       -40.45902           0.1305161E-01
    1201.049         14       0.1245077E-02       -43.08222           0.1287259E-01
    1201.049         15       0.1314932E-02       -44.71676           0.1275772E-01
    1201.049         16       0.1384889E-02       -45.23340           0.1272404E-01
    1201.049         17       0.1453858E-02       -44.98927           0.1273129E-01
    1201.049         18       0.1520562E-02       -43.67366           0.1281773E-01
    1201.049         19       0.1583257E-02       -40.95270           0.1300489E-01
    1201.049         20       0.1639324E-02       -36.18196           0.1335352E-01
    1201.049         21       0.1686842E-02       -30.08597           0.1382484E-01
    1201.049         22       0.1741266E-02       -35.48397           0.1339847E-01
    1201.049         23       0.1800276E-02       -39.35167           0.1311226E-01
    1201.049         24       0.1861156E-02       -41.23930           0.1297165E-01
    1201.049         25       0.1922067E-02       -41.65714           0.1293908E-01
    1201.049         26       0.1981910E-02       -41.18049           0.1296804E-01
    1201.049         27       0.2040013E-02       -40.11129           0.1304212E-01
    1201.049         28       0.2095902E-02       -38.62718           0.1314784E-01
    1201.049         29       0.2149034E-02       -36.65839           0.1329405E-01
    1201.049         30       0.2198682E-02       -34.10171           0.1348631E-01
    1201.049         31       0.2243820E-02       -30.68215           0.1376292E-01
    1201.049         32       0.2283210E-02       -26.35242           0.1412941E-01
    1201.049         33       0.2315239E-02       -20.90701           0.1463069E-01
    1201.049         34       0.2338187E-02       -14.48606           0.1527995E-01
    1201.049         35       0.2350326E-02       -7.347598           0.1608221E-01
    1201.049         36       0.2350204E-02       0.1199965           0.1642641E-01
    1201.049         37       0.2341108E-02        8.985526           0.1546291E-01
    1201.049         38       0.2321019E-02        20.15248           0.1441138E-01
    1201.049         39       0.2289733E-02        32.16213           0.1344760E-01
    1201.049         40       0.1717436E-02        0.000000           0.1000000E+31
    1321.153          1       0.5366134E-04       -69.07879           0.1148098E-01
    1321.153          2       0.1067776E-03       -69.44162           0.1146141E-01
    1321.153          3       0.1589702E-03       -69.22833           0.1146642E-01
    1321.153          4       0.2096924E-03       -68.61442           0.1146667E-01
    1321.153          5       0.2584493E-03       -67.17272           0.1150189E-01
    1321.153          6       0.3049438E-03       -64.02850           0.1166790E-01
    1321.153          7       0.3485019E-03       -59.61715           0.1190551E-01
    1321.153          8       0.3882034E-03       -53.59626           0.1224187E-01
    1321.153          9       0.4227768E-03       -45.05421           0.1278597E-01
    1321.153         10       0.4509853E-03       -34.66274           0.1355355E-01
    1321.153         11       0.4796810E-03       -36.26577           0.1338136E-01
    1321.153         12       0.5086794E-03       -37.37084           0.1327443E-01
    1321.153         13       0.5392999E-03       -40.45902           0.1305552E-01
    1321.153         14       0.5711855E-03       -43.08222           0.1287634E-01
    1321.153         15       0.6036710E-03       -44.71676           0.1276136E-01
    1321.153         16       0.6361701E-03       -45.23340           0.1272765E-01
    1321.153         17       0.6681971E-03       -44.98927           0.1273488E-01
    1321.153         18       0.6992555E-03       -43.67366           0.1282140E-01
    1321.153         19       0.7286232E-03       -40.95270           0.1300873E-01
    1321.153         20       0.7551872E-03       -36.18196           0.1335774E-01
    1321.153         21       0.7780353E-03       -30.08597           0.1382960E-01
    1321.153         22       0.8038459E-03       -35.48397           0.1340272E-01
    1321.153         23       0.8315684E-03       -39.35167           0.1311620E-01
    1321.153         24       0.8600232E-03       -41.23930           0.1297542E-01
    1321.153         25       0.8884545E-03       -41.65714           0.1294280E-01
    1321.153         26       0.9164052E-03       -41.18049           0.1297178E-01
    1321.153         27       0.9436077E-03       -40.11129           0.1304592E-01
    1321.153         28       0.9698663E-03       -38.62718           0.1315175E-01
    1321.153         29       0.9949557E-03       -36.65839           0.1329812E-01
    1321.153         30       0.1018551E-02       -34.10171           0.1349060E-01
    1321.153         31       0.1040212E-02       -30.68215           0.1376760E-01
    1321.153         32       0.1059353E-02       -26.35242           0.1413463E-01
    1321.153         33       0.1075186E-02       -20.90701           0.1463681E-01
    1321.153         34       0.1086777E-02       -14.48606           0.1528750E-01
    1321.153         35       0.1093064E-02       -7.347598           0.1609192E-01
    1321.153         36       0.1093200E-02       0.1199965           0.1643531E-01
    1321.153         37       0.1103265E-02        8.985526           0.1543718E-01
    1321.153         38       0.1125451E-02        20.15248           0.1434520E-01
