obsnme obsval
c001pr08c09_19800101 27.491623
c001pr08c10_19700101 45.0
c001pr08c10_19700102 27.15764
c001pr08c10_19791231 27.055481
c001pr08c10_19800101 26.84445
c001pr08c11_19700101 45.0
c001pr08c11_19700102 26.643665
c001pr08c11_19791231 26.541048
c001pr08c11_19800101 26.348677
c001pr08c12_19700101 45.0
c001pr08c12_19700102 26.16565
c001pr08c12_19791231 26.065176
c001pr08c12_19800101 25.893522
c001pr08c13_19700101 45.0
c001pr08c13_19700102 25.611544
c001pr08c13_19791231 25.518345
c001pr08c13_19800101 25.374285
c001pr08c14_19700101 45.0
c001pr08c14_19700102 24.948235
c001pr08c14_19791231 24.871416
c001pr08c14_19800101 24.76442
c001pr08c15_19700101 45.0
c001pr08c15_19700102 24.166433
c001pr08c15_19791231 24.115252
c001pr08c15_19800101 24.054424
c001pr08c16_19700101 45.0
c001pr08c16_19700102 23.215067
c001pr08c16_19791231 23.207102
c001pr08c16_19800101 23.203144
c001pr08c17_19700101 45.0
c001pr08c17_19700102 23.616274
c001pr08c17_19791231 23.58889
c001pr08c17_19800101 23.578335
c001pr08c18_19700101 45.0
c001pr08c18_19700102 23.963568
c001pr08c18_19791231 23.928614
c001pr08c18_19800101 23.912579
c001pr08c19_19700101 45.0
c001pr08c19_19700102 24.188065
c001pr08c19_19791231 24.148827
c001pr08c19_19800101 24.128899
c001pr08c20_19700101 45.0
c001pr08c20_19700102 24.322126
c001pr08c20_19791231 24.280615
c001pr08c20_19800101 24.258432
c001pr09c01_19700101 45.0
c001pr09c01_19700102 31.814898
c001pr09c01_19791231 31.73052
c001pr09c01_19800101 31.396303
c001pr09c02_19700101 45.0
c001pr09c02_19700102 31.724453
c001pr09c02_19791231 31.63985
c001pr09c02_19800101 31.307562
c001pr09c03_19700101 45.0
c001pr09c03_19700102 31.601782
c001pr09c03_19791231 31.517023
c001pr09c03_19800101 31.18828
c001pr09c04_19700101 45.0
c001pr09c04_19700102 31.492847
c001pr09c04_19791231 31.408043
c001pr09c04_19800101 31.08266
c001pr09c08_19700101 45.0
c001pr09c08_19700102 27.915699
c001pr09c08_19791231 27.814348
c001pr09c08_19800101 27.577625
c001pr09c09_19700101 45.0
c001pr09c09_19700102 27.304255
c001pr09c09_19791231 27.195902
c001pr09c09_19800101 26.969048
c001pr09c10_19700101 45.0
c001pr09c10_19700102 26.82502
c001pr09c10_19791231 26.712418
c001pr09c10_19800101 26.49841
c001pr09c11_19700101 45.0
c001pr09c11_19700102 26.377817
c001pr09c11_19791231 26.261843
c001pr09c11_19800101 26.063086
c001pr09c12_19700101 45.0
c001pr09c12_19700102 25.870918
