name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HK111,0,0.5,-1,1,0,0.499995,-0.999991,0.999991
HK112,0,0.5,-1,1,0,0.499996,-0.999993,0.999993
HK113,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
HK114,0,0.5,-1,1,0,0.499995,-0.999991,0.999991
HK115,0,0.5,-1,1,0,0.499997,-0.999995,0.999995
HK116,0,0.5,-1,1,0,0.499997,-0.999995,0.999995
HK117,0,0.5,-1,1,0,0.499995,-0.999991,0.999991
HK118,0,0.5,-1,1,0,0.499997,-0.999995,0.999995
HK119,0,0.5,-1,1,0,0.499998,-0.999997,0.999997
HK120,0,0.5,-1,1,0,0.499998,-0.999996,0.999996
HK121,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
HK122,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
HK123,0,0.5,-1,1,0,0.499998,-0.999996,0.999996
HK124,0,0.5,-1,1,0,0.5,-0.999999,0.999999
HK125,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
HK126,0,0.5,-1,1,0,0.499997,-0.999994,0.999994
HK127,0,0.5,-1,1,0,0.499998,-0.999997,0.999997
HK128,0,0.5,-1,1,0,0.5,-1,1
HK129,0,0.5,-1,1,0,0.499996,-0.999992,0.999992
HK130,0,0.5,-1,1,0,0.499997,-0.999993,0.999993
HK131,0,0.5,-1,1,0,0.499998,-0.999997,0.999997
HK200,0,0.5,-1,1,0,0.497078,-0.994157,0.994157
HK201,0,0.5,-1,1,0,0.4819,-0.963799,0.963799
HK202,0,0.5,-1,1,0,0.459998,-0.919997,0.919997
HK203,0,0.5,-1,1,0,0.464887,-0.929775,0.929775
HK204,0,0.5,-1,1,0,0.49439,-0.98878,0.98878
HK205,0,0.5,-1,1,0,0.463421,-0.926841,0.926841
HK206,0,0.5,-1,1,0,0.420131,-0.840263,0.840263
HK207,0,0.5,-1,1,0,0.437261,-0.874523,0.874523
HK208,0,0.5,-1,1,0,0.492769,-0.985537,0.985537
HK209,0,0.5,-1,1,0,0.452312,-0.904624,0.904624
HK210,0,0.5,-1,1,0,0.480533,-0.961066,0.961066
HK211,0,0.5,-1,1,0,0.474873,-0.949745,0.949745
HK212,0,0.5,-1,1,0,0.473162,-0.946324,0.946324
HK213,0,0.5,-1,1,0,0.489862,-0.979724,0.979724
HK214,0,0.5,-1,1,0,0.449528,-0.899056,0.899056
HK215,0,0.5,-1,1,0,0.465603,-0.931206,0.931206
HK216,0,0.5,-1,1,0,0.471122,-0.942245,0.942245
HK217,0,0.5,-1,1,0,0.448997,-0.897995,0.897995
HK218,0,0.5,-1,1,0,0.487419,-0.974839,0.974839
HK219,0,0.5,-1,1,0,0.474422,-0.948843,0.948843
HK220,0,0.5,-1,1,0,0.490624,-0.981248,0.981248
HK221,0,0.5,-1,1,0,0.460886,-0.921771,0.921771
HK222,0,0.5,-1,1,0,0.431211,-0.862422,0.862422
HK223,0,0.5,-1,1,0,0.485788,-0.971577,0.971577
HK224,0,0.5,-1,1,0,0.479834,-0.959668,0.959668
HK225,0,0.5,-1,1,0,0.48004,-0.960079,0.960079
HK226,0,0.5,-1,1,0,0.479009,-0.958019,0.958019
HK227,0,0.5,-1,1,0,0.48299,-0.96598,0.96598
HK228,0,0.5,-1,1,0,0.468566,-0.937132,0.937132
HK229,0,0.5,-1,1,0,0.472401,-0.944802,0.944802
HK230,0,0.5,-1,1,0,0.478377,-0.956755,0.956755
HK231,0,0.5,-1,1,0,0.462713,-0.925426,0.925426
PRSITY000,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY001,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY002,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY003,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY004,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY005,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY006,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY007,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY008,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY009,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY010,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY011,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY012,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY013,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY014,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY015,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY016,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY017,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY018,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY019,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY020,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY021,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY022,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY023,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY024,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY025,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY026,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY027,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY028,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY029,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY030,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY031,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY100,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY101,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY102,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY103,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY104,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY105,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY106,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY107,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY108,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY109,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY110,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY111,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY112,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY113,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY114,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY115,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY116,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY117,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY118,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY119,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY120,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY121,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY122,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY123,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY124,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY125,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY126,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY127,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY128,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY129,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY130,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY131,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY200,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY201,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY202,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY203,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY204,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY205,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY206,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY207,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY208,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
PRSITY209,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
